SeekSpace® 单细胞空间ATAC转录组：Workflow输入输出与边界条件确认,,,,,,,,,,,,,,,,,,,,
序号,Step ID,步骤名称,文档定位,来源类型,前序依赖,输入/前序产物,输入状态/前置条件（文档已知）,关键试剂/耗材/仪器,关键参数（文档已知）,建议标准输出名（需确认）,输出状态/QC/停止点（文档已知）,需实验人员确认的问题,允许等待/最晚进入下一步,异常与恢复策略,流程属性（人工，全自动，半自动）,实际执行差异/补充,确认状态,需现场观察,填写人,确认日期
11,3-1,实验前准备,PDF p41–43,DOC_CONFIRM,2-2,Step2片段化产物；ATAC+RNA油包水反应试剂。,ATAC Enzyme T、Reagent B、Buffer RL、Reducing Buffer、Buffer PB冰上解冻振荡瞬离；TSO -80℃冰上处理；Barcoded Beads室温平衡30 min；SeekOne DD自检通过。,Buffer RL、ATAC Enzyme T、Reagent B、Reducing Buffer、TSO、Buffer PB、Barcoded Beads、Chip S3、Carrier Oil、SeekOne DD。,单反应Mix=Buffer RL26.6 μL+ATAC Enzyme T8.4 μL+Reagent B1.2 μL+Reducing Buffer1.6 μL+TSO2 μL+Buffer PB25.2 μL=65 μL；冰上吹打15次、瞬离。文档还给×4.5/×8.5批量用量。ATAC Enzyme T粘稠，枪头不宜深入、缓慢吸取。将Step2片段化产物加入Mix并混匀，最终单细胞核混合液80 μL。,65 μL反应Mix / 最终80 μL单细胞核混合液,Mix完成并加入片段化产物后总体积80 μL。,文档未明确“片段化产物加入量”的固定μL值；若Step2分4管或合并管，如何计算/汇总到80 μL必须确认。另确认批量×4.5/×8.5何时使用、粘稠酶吸液参数。,80 μL混合液到Chip加样最大等待时间未给。,多个片段化管合并体积不匹配、酶挂壁、混合液起泡时的处理需确认。,,,待确认,否,,
12,3-2,准备单细胞混合液,PDF p43（说明书标题为“Step 3-2 向Chip S3加入试剂”）,DOC_CONFIRM,3-1,80 μL单细胞混合液、室温平衡的凝胶微珠、Carrier Oil。,Chip S3开封≤24 h；不加样位放Chip P；微珠振荡30 s、瞬离2 s、无气泡。,Chip S3、Gasket、凝胶微珠、Carrier Oil、移液器。,孔1加78 μL细胞混合液，枪尖垂直置孔底中心稍高处，缓慢注入、无气泡、静置30 s；孔2加38 μL微珠，同样位置；枪尖随液面移动并保持液面下3 mm，微珠吸完在源管停5 s；孔3加Carrier Oil120 μL×2，总240 μL，沿内壁缓慢注入；挂载Gasket并对齐。,完成加样并安装Gasket的Chip S3,78/38/240 μL加样完成、无明显气泡、Gasket对孔。,注意当前确认表Step ID与说明书编号有一位偏移：本表3-2名称原为“准备单细胞混合液”，但说明书实际在3-1末尾完成80 μL混合液，3-2即Chip加样。请确认平台Workflow是否应按说明书重新拆步/重编号；同时确认枪尖高度、速度、气泡标准。,加样后到上机最大等待未给。,加错孔/气泡/油不足/Gasket错位处理需确认。,,,待确认,是,,
13,3-3,向 Chip S3 加入试剂,PDF p44（说明书标题为“Step 3-3 运行SeekOne DD”）,OBSERVATION_REQUIRED,3-2,完成加样的Chip S3夹具。,SeekOne DD水平、室温、无震动且自检成功。,SeekOne® DD数字液滴仪。,出仓→水平放夹具→进仓→选择“空间转录组”程序→确认启动→程序结束出仓。,完成液滴生成的Chip S3,程序结束后文档要求立即转移油包水。,本表原Step 3-3为“向Chip S3加试剂”，与说明书编号偏移，请确认是否重构Workflow编号；确认仪器程序名称“空间转录组”是否为当前版本正确程序及运行日志接口。,文档写“立即”；给最大允许时间。,仪器报警/断电/程序异常处理需确认。,,,待确认,是,,
14,3-4,运行 SeekOne® DD,PDF p45–46（说明书标题为“Step 3-4 转移生成的油包水”）,DOC_CONFIRM,3-3,完成液滴生成的Chip S3。,冰上准备新0.2 mL PCR管；芯片约45°。,Chip S3、PCR管、冰盒、移液器。,孔1残液<10 μL、孔2<15 μL、总产物约120 μL；从孔4缓慢吸取全部油包水，枪尖悬液中不贴底；透明底油可小量程去除；多芯片时孔4偶见气泡可正常；正常液相均一不透明乳浊；沿冰上PCR管壁约20 s排液，不离心、不振荡。,约120 μL空间ATAC油包水产物,残液阈值合格、乳液均一不透明；异常残量提示堵塞。,本表原Step 3-4为“运行SeekOne DD”，与说明书编号偏移，请确认重编号；确认残液测量、枪尖位置/速度、孔4气泡正常边界、20 s约束。,文档要求立即下一步；给最大等待。,堵孔、回收量不足、乳液异常、误吸底油处理需确认。,,,待确认,否,,
15,3-5,noListClick,PDF p46（说明书标题为“Step 3-5 油包水反应”）,OBSERVATION_REQUIRED,3-4,约120 μL油包水产物。,PCR管未离心/振荡；PCR可用。,PCR仪。,PCR热盖65℃、体积100 μL：25℃30 min→42℃60 min→4℃ Hold；若液面高于加热块，均分两管反应，结束后离心合并。,完成反应的油包水产物,反应结束后文档要求立即进入解交联/纯化。,本表原Step 3-5为“转移生成的油包水”，编号偏移；确认是否按说明书修正。确认分两管触发高度、合并离心参数、4℃Hold上限。,文档写立即；请给最大延迟。,PCR异常、油包水破裂/分层处理需确认。,,,待确认,是,,
17,4-1,实验前准备,PDF p47,DOC_CONFIRM,3-6,Step3-5完成的油包水反应产物。,Reducing Buffer冰上解冻；Cleanup Beads/DNA分选磁珠室温平衡；Demulsion Agent室温振荡瞬离；80%乙醇当天现配。,Reducing Buffer、Cleanup Beads、Demulsion Agent、DCL Buffer、Enzyme K1、Buffer S、DNA分选磁珠、恒温混匀仪、磁力架。,恒温混匀仪、1.5 mL磁力架、微型离心机、振荡仪打开备用。,解交联/纯化工位就绪,试剂状态和设备满足下一步操作要求。,确认磁珠平衡实际时间、DCL/K1准备方式、各试剂准备后最大可用时限。,准备完成到破乳最大等待未给。,DCL结晶、磁珠未平衡、设备不可用时的处理需确认。,,,待确认,否,,
18,4-2,油包水破乳,PDF p47–48,OBSERVATION_REQUIRED,4-1,Step3油包水反应产物。,室温操作；Buffer S和Demulsion Agent可用。,Buffer S、Demulsion Agent、移液器。,每管先加Buffer S 3 μL，再加Demulsion Agent100 μL，室温2 min；从PCR管底部缓慢吸去130 μL Demulsion Agent/Carrier Oil，底部留2–5 μL透明混合液避免吸水相；若上层仍雾状浑浊，可重复破乳；二次后仍雾状则去底部透明相，保留雾状液与水相进入解交联。,破乳后的全部水相,完成一次或最多二次破乳；二次仍雾状可按文档带入下一步。,确认底部吸取位置/速度、2–5 μL判断方式、“雾状”可继续边界。,破乳到加DCL/K1最大等待未给。,水相误吸、油相残留过多、分层不清的恢复需确认。,,,待确认,是,,
19,4-3,解交联,PDF p48,DOC_CONFIRM,4-2,Step4-2全部水相。,DCL Buffer若白色固体/结晶可55℃加热至澄清。,DCL Buffer、Enzyme K1、恒温混匀仪。,转水相至新1.5 mL管，加DCL Buffer93 μL+Enzyme K1 18.6 μL，振荡混匀；此处可-80℃过夜。继续时55℃、500 rpm、2 h；结束后也可-80℃过夜。,空间ATAC解交联产物,两个STOPPING POINT：加DCL/K1混匀后可-80℃过夜；55℃500 rpm 2 h结束后也可-80℃过夜。,确认“过夜”最大时长/冻融次数；DCL加热至澄清的时间上限；500 rpm设备实际校准。,-80℃过夜，具体最大小时数需确认。,DCL仍不澄清、2 h程序中断、保存超时处理需确认。,,,待确认,否,,
20,4-4,纯化,PDF p48–49,OBSERVATION_REQUIRED,4-3,Step4-3解交联产物。,Cleanup Beads、DNA分选磁珠室温平衡；80%乙醇当天现配。,Cleanup Beads、Reducing Buffer、Nuclease-Free Water、DNA分选磁珠、80%乙醇、1.5 mL磁力架。,Cleanup Mix=Cleanup Beads409.5 μL+Reducing Buffer10.5 μL=420 μL；每管加410 μL，轻轻缓慢吹打≥15次，室温10 min，并在第5 min再次缓慢吹打10次；若出现白色固体/结晶可55℃加热至澄清，切勿长时间放置，之后继续室温孵育。磁吸澄清去上清；加水50 μL+DNA beads80 μL（1.6×），混匀，室温5 min、磁吸去上清；800 μL 80%乙醇30 s洗×2；瞬离去残液；干3–5 min至暗哑不干裂；加46 μL水重悬、室温5 min；建议涡旋10–15 s→瞬离→吹打15次；磁吸后转移44.6 μL。,44.6 μL空间ATAC解交联纯化cDNA产物,输出44.6 μL上清；中间5 min额外吹打10次为本版本明确要求。,确认410 μL加样相对420 μL配制余量；中间5 min吹打的具体吸排速度；55℃加热时间上限；磁珠干燥/澄清图像标准。,产物到二次RT的最大等待/保存条件未在此处写。,结晶、磁珠过干、低回收、残乙醇/残珠的补救需确认。,,,待确认,是,,
21,5-1,实验前准备,PDF p49–50,DOC_CONFIRM,4-4,Step4-4的44.6 μL纯化cDNA产物；二次逆转录试剂。,3×RT Buffer、Reducing Buffer冰上解冻振荡瞬离；RT Enzyme瞬离冰上；TSO由-80℃冰上解冻；DNA分选磁珠室温平衡。,3×RT Buffer、RT Enzyme、TSO、Reducing Buffer、PCR仪、0.2 mL磁力架。,二次RT Mix：3×RT Buffer26.6 μL+RT Enzyme5.2 μL+TSO2 μL+Reducing Buffer1.6 μL=35.4 μL；冰上配、吹打15次、瞬离。,35.4 μL二次逆转录Mix,Mix置冰上备用。,确认Mix组分加样顺序、吹打参数、配好后冰上最大等待时间。,文档未给Mix最大冰上等待。,酶漏加/挂壁、TSO反复冻融、Mix体积不足时的处理需确认。,,,待确认,否,,
22,5-2,二次逆转录反应,PDF p50,DOC_CONFIRM,5-1,44.6 μL Step4-4 cDNA + 35.4 μL二次RT Mix。,PCR仪可用，总体积80 μL。,PCR仪。,35.4 μL Mix加入44.6 μL cDNA，吹打10次、瞬离；PCR热盖85℃、体积80 μL：42℃90 min→4℃ Hold。,80 μL二次逆转录产物,STOPPING POINT：4℃≤72 h或-20℃≤1周。,确认4℃Hold最长可直接停多久、-20℃冻融次数、吹打10次参数。,4℃≤72 h或-20℃≤1周。,PCR中断/保存超时的样本判定需确认。,,,待确认,否,,
23,5-3,二次逆转录产物纯化,PDF p50–51,OBSERVATION_REQUIRED,5-2,80 μL二次逆转录产物。,DNA分选磁珠室温平衡；80%乙醇当天现配。,DNA分选磁珠、80%乙醇、Nuclease-Free Water、0.2 mL磁力架。,加144 μL磁珠（1.8×），吹打10次或振荡并瞬离；室温5 min；磁吸澄清去上清；200 μL 80%乙醇30 s洗×2；瞬离去残液；干3–5 min至暗哑不干裂；加24 μL水重悬、室温5 min；建议涡旋10–15 s→瞬离→吹打15次；磁吸后转移23 μL。,23 μL二次逆转录纯化产物,STOPPING POINT：4℃≤72 h或-20℃≤1周。,确认最终23 μL回收下限；磁珠干燥/澄清判定；是否实际采用推荐涡旋。,4℃≤72 h或-20℃≤1周。,低回收、残珠/残乙醇、磁珠过干、保存超时处理需确认。,,,待确认,是,,
24,6-1,实验前准备,PDF p51–52,DOC_CONFIRM,5-3,Step5-3二次逆转录纯化产物；预扩增试剂。,2×PCR Master Mix、Pre-Primers、ATAC-Primer冰上解冻振荡瞬离；DNA分选磁珠室温平衡。,2×PCR Master Mix、Pre-Primers、ATAC-Primer、PCR、Qubit。,预扩增Mix：Master Mix25 μL+Pre-Primers2 μL+ATAC-Primer1 μL=28 μL；冰上备用。,28 μL cDNA+ATAC+空间标签预扩增Mix,Mix准备完成。,确认加样顺序和Mix冰上最大等待时间。,文档未给。,漏加/错加/试剂挂壁处理需确认。,,,待确认,否,,
25,6-2,预扩增,PDF p52–53,DOC_CONFIRM,6-1,Step5纯化cDNA产物22 μL  + 28 μL预扩增Mix。,文档此处写“将28 μL Mix加入Step5纯化后的22 μL cDNA产物”，但Step5-3上一页明确转移23 μL上清，存在1 μL内部不一致，此处之前提取23微升纯化产物，只取用22微升。,PCR仪。,按文档预扩增总体系50 μL：28 μL Mix+22 μL cDNA；吹打10次、瞬离。PCR热盖105℃：65℃20 min→98℃3 min→5 cycles×(98℃10 s、63℃15 s、72℃1 min)→72℃5 min→4℃ Hold。,50 μL cDNA+ATAC+空间标签预扩增产物,完成5 cycles；文档对Step5输出23 μL与本步使用22 μL存在不一致。,必须确认本步实际取22 μL还是23 μL，以及若取23 μL如何调整Mix/总体系；确认5 cycles是否固定。,PCR结束到纯化最大等待未给。,若按错误体积配体系、PCR中断/cycle设置错误时处理需确认。,,,待确认,否,,
26,6-3,预扩增产物纯化,PDF p53,OBSERVATION_REQUIRED,6-2,50 μL预扩增产物。,DNA分选磁珠室温平衡；80%乙醇当天现配。,DNA分选磁珠、80%乙醇、Nuclease-Free Water、0.2 mL磁力架。,加80 μL磁珠（1.6×），吹打10次或振荡；室温5 min；磁吸去上清；200 μL 80%乙醇30 s洗×2；瞬离去残液；干3–5 min至暗哑不干裂；加41 μL水重悬、室温5 min；建议涡旋10–15 s→瞬离→吹打15次；磁吸后转移40 μL。,40 μL预扩增纯化产物,STOPPING POINT：4℃≤72 h或-20℃≤1个月。,确认40 μL最终回收下限；磁珠干燥/澄清标准。,4℃≤72 h或-20℃≤1个月。,低回收、残珠/残乙醇、保存超时处理需确认。,,,待确认,是,,
27,6-4,预扩增产物定量,PDF p53,DOC_CONFIRM,6-3,Step6-3的40 μL预扩增纯化产物。,Qubit可用。,Qubit 4.0及配套试剂。,检测产物浓度，用于后续转录组cDNA扩增、ATAC扩增和空间标签文库构建的投入量计算。,预扩增产物浓度（ng/μL）,Qubit浓度成为Step7/8/9分支的Workflow控制变量。,确认Qubit取样体积、重复次数、重复差异阈值、低于检出限/超量程重测规则。,可按Step6-3停止点保存；室温测定过程时限需确认。,浓度异常/测量失败时重测和是否允许进入下游需确认。,,,待确认,是,,
28,7-1,实验前准备,PDF p53–54,DOC_CONFIRM,6-4,Step6-3预扩增产物及其浓度；转录组cDNA/表达文库试剂。,2×PCR Master Mix、Post-Primers、Blocker-N、N5/N7冰上解冻振荡瞬离；DNA分选磁珠室温平衡；Qubit/片段仪可用。,2×PCR Master Mix、Post-Primers、Blocker-N、N5/N7、DNA分选磁珠、PCR、Qubit、片段分析仪。,80%乙醇当天现配；PCR、0.2 mL磁力架、Qubit、核酸片段分析仪等打开备用。,转录组cDNA/表达文库构建工位就绪,试剂和设备可用。,确认实际片段分析仪型号、index分配/防错规则、磁珠平衡时间。,准备完成后的最大等待未给。,index不足、设备占用、试剂异常的调度策略需确认。,,,待确认,否,,
29,7-2,cDNA 扩增,PDF p54–55,DOC_CONFIRM,7-1,Step6-3预扩增纯化产物X μL + Qubit浓度。,表格定义最大投入≤50 ng；正文写吸取22.5 μL，浓度>5 ng/μL时只取50 ng并用水补至22.5 μL；浓度<5 ng/μL时却写“直接吸取5 μL”，未明确剩余17.5 μL是否补水，存在不完整表达。,2×PCR Master Mix、Post-Primers、Blocker-N、Nuclease-Free Water、PCR仪。,体系表：Master Mix25 μL+Post-Primers1 μL+Blocker-N1.5 μL+Step6-3产物X μL（≤50 ng）+水(22.5-X) μL，总50 μL。PCR热盖105℃：98℃3 min；7–9 cycles×(98℃10 s、63℃15 s、72℃1 min)；72℃5 min；4℃ Hold。投入≤15 ng→9；15–30 ng→8；30–50 ng→7。,50 μL转录组cDNA扩增产物,文档存在“浓度<5时直接吸5 μL”与50 μL体系补水逻辑未写全，以及15/30 ng区间边界重叠。,确认低于5 ng/μL时实际取5 μL还是22.5 μL，并如何补水到50 μL；确认15、30 ng边界归属及具体cycle规则。,PCR结束到纯化最大等待未给。,按错误体积/cycle执行、PCR异常的处理需确认。,,,待确认,否,,
30,7-3,cDNA 纯化,PDF p55–56,OBSERVATION_REQUIRED,7-2,50 μL Step7-2 cDNA扩增产物。,DNA分选磁珠室温平衡；80%乙醇现配。,DNA分选磁珠、80%乙醇、Nuclease-Free Water、磁力架。,加40 μL磁珠（0.8×），吹打10次或振荡、瞬离；室温5 min；磁吸去上清；200 μL 80%乙醇30 s洗×2；瞬离去残液；干3–5 min至暗哑不干裂；加41 μL水、室温5 min；磁吸后转移40 μL。,40 μL cDNA纯化产物,STOPPING POINT：-20℃≤1个月。,确认回收体积下限、冻融次数、短时4℃策略。,-20℃≤1个月。,低回收/残珠/保存超时处理需确认。,,,待确认,是,,
31,7-4,cDNA 产物质控,PDF p56,DOC_CONFIRM,7-3,Step7-3的40 μL cDNA纯化产物。,Qubit和片段分析仪可用。,Qubit、Agilent 4200 TapeStation或等效设备。,合格：浓度≥1 ng/μL，片段200–2500 bp，主峰250–1000 bp；风险：0.5–1 ng/μL且片段/主峰符合；不合格：浓度≤0.5 ng/μL。,cDNA QC结果（浓度、片段、主峰、PASS/RISK/FAIL）,按上述阈值输出QC。,浓度=1 ng/μL在“≥1合格”和“≤1风险”中重叠；浓度=0.5在风险和“不合格≤0.5”也重叠，请确认精确边界；风险样本是否可继续。,按Step7-3 -20℃≤1个月；实际QC过程时限需确认。,风险/不合格的重扩增、重纯化或终止需确认。,,,待确认,是,,
